sqlTypeId	javaclass	need args	full text indexable	StandardSQL	DB2	H2	HSQLDB	MySQL	Oracle	PostgreSQL	SQLite	SQLServer	SQLServer 2008	MSAccess
float(p)	java.lang.Float			${sqlTypeId}=true|float=true	decfloat(p)=true|decfloat=true	${sqlTypeId}=true|float=true	${sqlTypeId}=true|float=true	${sqlTypeId}=true	${sqlTypeId}=true|float=true	${sqlTypeId}=true	real=false	${sqlTypeId}=true	${sqlTypeId}=true	double=false
float(m,d)	java.lang.Float				decimal(p,s)=false	decimal(p,s)=false	decimal(p,s)=false	${sqlTypeId}=true|float=true	number(p,s)=false	decimal(p,s)=false	real=false	decimal(p,s)=false	decimal(p,s)=false	double=false
geometry	java.lang.Object
hierarchyid	java.lang.String										none=false	${sqlTypeId}=true|hierarchyid=true	${sqlTypeId}=true|hierarchyid=true
image	java.sql.Blob			blob=false	blob=false	blob=false	blob=false	blob=false	blob=false	bytea=false	none=false	${sqlTypeId}=true	${sqlTypeId}=true	longbinary=false
inet	java.lang.String									${sqlTypeId}=true	none=false
int(n)	java.lang.Integer			int=false	int=false	int=false	int=false	${sqlTypeId}=true	number(10,0)=false	int=false	integer=false	int=false	int=false	long=false
interval	java.lang.Integer									${sqlTypeId}=true
interval(p)	java.lang.Integer									${sqlTypeId}=true|interval=true
interval year	java.lang.Integer									${sqlTypeId}=true
interval month	java.lang.Integer									${sqlTypeId}=true
interval day	java.lang.Integer									${sqlTypeId}=true
interval hour	java.lang.Integer									${sqlTypeId}=true
interval minute	java.lang.Integer									${sqlTypeId}=true
interval second	java.lang.Integer									${sqlTypeId}=true
interval second(p)	java.lang.Integer									${sqlTypeId}=true
interval year to month	java.lang.Integer								${sqlTypeId}=true	${sqlTypeId}=true
interval year(p) to month	java.lang.Integer								${sqlTypeId}=true|interval year to month=true	interval year to month=false
interval day to hour	java.lang.Integer									${sqlTypeId}=true
interval day to minute	java.lang.Integer									${sqlTypeId}=true
interval day to second	java.lang.Integer								${sqlTypeId}=true	${sqlTypeId}=true
interval day to second(p)	java.lang.Integer								${sqlTypeId}=true	${sqlTypeId}=true
interval day(p) to second	java.lang.Integer								${sqlTypeId}=true	interval day to second(p)=false
interval day(p) to second(p)	java.lang.Integer								${sqlTypeId}=true|interval day to second=true	interval day to second(p)=false
interval hour to minute	java.lang.Integer									${sqlTypeId}=true
interval hour to second	java.lang.Integer									${sqlTypeId}=true
interval hour to second(p)	java.lang.Integer									${sqlTypeId}=true
interval minute to second	java.lang.Integer									${sqlTypeId}=true
interval minute to second(p)	java.lang.Integer									${sqlTypeId}=true
line	java.lang.Object									${sqlTypeId}=true	none=false
long	java.sql.Blob			blob=false	blob=false	blob=false	blob=false	blob=false	${sqlTypeId}=true	bytea=false	none=false	varbinary(max)=false	varbinary(max)=false	longbinary=false
longblob	java.sql.Blob			blob=false	blob=false	blob=false	blob=false	${sqlTypeId}=true	blob=false	bytea=false	none=false	varbinary(max)=false	varbinary(max)=false	longbinary=false
long raw	java.sql.Blob			blob=false	blob=false	blob=false	blob=false	longblob=false	${sqlTypeId}=true	bytea=false	none=false	varbinary(max)=false	varbinary(max)=false	longbinary=false
longtext	java.lang.String		TRUE	clob=false	clob=false	clob=false	clob=false	${sqlTypeId}=true	clob=false	text=false	text=false	text=false	text=false	memo=false
longvarchar	java.lang.String		TRUE	clob=false	clob=false	${sqlTypeId}=true	${sqlTypeId}=true	text=false	clob=false	text=false	text=false	text=false	text=false	memo=false
longvarbinary	java.sql.Blob			blob=false	blob=false	${sqlTypeId}=true	${sqlTypeId}=true	blob=false	blob=false	bytea=false	none=false	varbinary(max)=false	varbinary(max)=false	longbinary=false
lseg	java.lang.Object									${sqlTypeId}=true	none=false
macaddr	java.lang.String									${sqlTypeId}=true	none=false
mediumblob	java.sql.Blob			blob=false	blob=false	blob=false	blob=false	${sqlTypeId}=true	blob=false	bytea=false	none=false	varbinary(max)=false	varbinary(max)=false	longbinary=false
mediumint	java.lang.Integer			int=false	int=false	int=false	int=false	${sqlTypeId}=true	number(7,0)=false|number(7,0)=true	int=false	integer=false	int=false	int=false	long=false
mediumint(n)	java.lang.Integer			int=false	int=false	int=false	int=false	${sqlTypeId}=true	number(7,0)=false	int=false	integer=false	int=false	int=false	long=false
mediumtext	java.lang.String		TRUE	text=false	clob=false	clob=false	clob=false	${sqlTypeId}=true	clob=false	text=false	text=false	text=false	text=false	text=false
money	java.lang.Double			${sqlTypeId}=true	decimal(19,4)=false|decimal(19,4)=true	decimal(19,4)=false|decimal(19,4)=true	decimal(19,4)=false|decimal(19,4)=true	decimal(19,4)=false|decimal(19,4)=true	number(19,4)=false|number(19,4)=true	${sqlTypeId}=true	numeric=false	${sqlTypeId}=true	${sqlTypeId}=true	currency=true
smallmoney	java.lang.Double			${sqlTypeId}=true	decimal(10,4)=false|decimal(10,4)=true	decimal(10,4)=false|decimal(10,4)=true	decimal(10,4)=false|decimal(10,4)=true	decimal(10,4)=false|decimal(10,4)=true	number(10,4)=false|number(10,4)=true	money=false	numeric=false	${sqlTypeId}=true	${sqlTypeId}=true	currency=false
oid	java.lang.String									${sqlTypeId}=true
other	java.lang.Object					${sqlTypeId}=true	${sqlTypeId}=true				none=false
path	java.lang.Object									${sqlTypeId}=true	none=false
point	java.lang.Object									${sqlTypeId}=true	none=false
polygon	java.lang.Object									${sqlTypeId}=true	none=false
